seed,netname,use_bit_wise,use_vec_wise,pairwise_multiplication,emb_dim,bit_width,vec_width,grid,k,dataset,task,epochs,batch_size,lr,weight_decay,gamma,note,device_index,test_auc,test_logloss
42,KARSEIN,1,0,"[0, 1]",16,"[64, 32]","[6, 6]",3,1,ml-1m,CTR,15,512,0.003,1e-05,0.9,None,0,0.850493773065757,0.3188391663134098
42,KARSEIN,1,0,"[0, 1]",16,"[64, 32]","[6, 6]",3,1,ml-1m,CTR,15,512,0.003,1e-05,0.9,None,0,0.8510897002393902,0.3195266261696815
42,KARSEIN,1,1,"[0, 1]",16,"[64, 32]","[6, 6]",3,1,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.852808063600518,0.3182167515158653
42,KARSEIN,1,1,"[0, 1]",16,"[64, 32]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8539757921557399,0.3173583447933197
42,KARSEIN,0,1,"[0, 1]",16,"[64, 32]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8526334274842465,0.31772312372922895
42,KARSEIN,1,1,"[0, 1]",16,"[64, 32]","[16, 16]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8525848964282285,0.3176690757274628
42,KARSEIN,1,1,"[0, 1]",16,"[64, 64]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8516290085211391,0.31832601726055143
42,KARSEIN,1,1,"[0, 1]",16,"[64, 64]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8516196604681614,0.3183345690369606
42,KARSEIN,1,1,"[0, 1]",16,"[64, 32]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8522914235860926,0.31837759017944334
42,KARSEIN,1,1,"[0, 1]",16,"[64, 32]","[6, 6]",3,1,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8534335671316052,0.31739065051078796
42,KARSEIN,1,1,"[0, 1]",16,"[64, 32]","[6, 6]",3,1,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.852799450898513,0.3182358130812645
42,KARSEIN,1,1,"[0, 1]",16,"[64, 32]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8539613890654214,0.31736665964126587
42,KARSEIN,1,1,"[0, 1]",16,"[64, 32]","[6, 6]",10,3,ml-1m,CTR,6,1024,0.002,1e-05,0.9,None,0,0.8490013541178298,0.32146477699279785
1024,KARSEIN,1,1,"[0, 1]",16,"[64, 32]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8526530218045567,0.31788909882307054
42,KARSEIN,0,1,"[0, 1]",16,"[64, 32]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.852644224273398,0.31771059036254884
42,KARSEIN,1,1,"[0, 1, 2]",16,"[64, 32]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8540141020044801,0.31670110374689103
42,KARSEIN,1,1,"[0, 1, 2]",16,"[64, 32]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8597769084982814,0.3087738394737244
42,KARSEIN,1,1,"[0, 1, 2]",16,"[64, 32]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8568493612133707,0.31298564970493314
42,KARSEIN,1,1,"[0, 1, 2]",16,"[64, 32]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8537376385736046,0.31625511944293977
42,KARSEIN,1,1,"[0, 1, 2]",16,"[64, 32]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8504824213848045,0.3203847773373127
42,KARSEIN,1,1,"[0, 1, 2]",16,"[64, 32]","[6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8540203655082828,0.3166991725564003
42,KARSEIN,1,1,"[0, 1, 2]",16,"[64, 32]","[6, 6, 6]",10,3,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8513727276712997,0.31853104680776595
42,KARSEIN,1,1,"[0, 1, 2]",16,"[64, 32]","[6, 6]",10,2,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8542913261347092,0.31643200665712357
42,KARSEIN,1,1,"[0, 1, 2]",16,"[64, 32]","[6, 6]",10,1,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8538270404257547,0.31700450032949445
42,KARSEIN,1,1,"[0, 1, 2]",32,"[64, 32]","[6, 6]",10,2,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8527806968443032,0.31881147921085357
42,KARSEIN,1,1,"[0, 1, 2]",64,"[64, 32]","[6, 6]",10,2,ml-1m,CTR,5,512,0.003,1e-05,0.9,None,0,0.8529985034268333,0.31718975454568865
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,1,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8527959966003207,0.3178662985563278
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,1,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8526904230218282,0.31830884218215943
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,1,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8467603131639747,0.32248896956443784
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,1,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8541371816166858,0.31642111092805864
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,1,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8531071318446817,0.3176263228058815
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,1,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8515257259076531,0.3187492311000824
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,1,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8493909559018785,0.32065087705850603
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,1,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.8540357870827625,0.31634227484464644
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,1,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8533129724334758,0.3176907777786255
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,1,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.8540236293726823,0.3169421285390854
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,1,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8505354278510948,0.31970942169427874
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,2,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.852293015474163,0.318438857793808
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,1,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8518989288570273,0.3185336351394653
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,2,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8517049214620969,0.318914932012558
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,2,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8523997455701734,0.3178846150636673
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,2,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8529887433210748,0.3177097260951996
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,2,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8518094136898597,0.31844511032104494
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,2,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8538589246432682,0.31718233078718183
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,2,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8535265979380438,0.3168288439512253
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,2,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.853736198853898,0.3166297823190689
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,2,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.854084651880916,0.3168651059269905
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,2,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8522820850161439,0.31780828088521956
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,2,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.8535462766592335,0.3176421120762825
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",10,3,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8528665591822289,0.31801459193229675
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",10,2,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8540537026519818,0.3169406846165657
